[2026-06-16 18:23:24,757] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
[2026-06-16 18:23:25,049] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
[2026-06-16 18:23:25,263] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
[2026-06-16 18:23:25,291] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
[2026-06-16 18:23:25,759] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
[2026-06-16 18:23:25,875] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
[2026-06-16 18:23:25,878] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
[2026-06-16 18:23:25,992] INFO [LogLoader partition=__cluster_metadata-0, dir=D:\Bhaskar_Learning_and_Development\Kafka_By_Sergey_Kargopolov\tmp\server-1\kraft-combined-logs] Loading producer state till offset 0 with message format version 2 (kafka.log.UnifiedLog$)
[2026-06-16 18:23:25,994] INFO [LogLoader partition=__cluster_metadata-0, dir=D:\Bhaskar_Learning_and_Development\Kafka_By_Sergey_Kargopolov\tmp\server-1\kraft-combined-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (kafka.log.UnifiedLog$)
[2026-06-16 18:23:25,994] INFO [LogLoader partition=__cluster_metadata-0, dir=D:\Bhaskar_Learning_and_Development\Kafka_By_Sergey_Kargopolov\tmp\server-1\kraft-combined-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (kafka.log.UnifiedLog$)
[2026-06-16 18:23:26,040] INFO Initialized snapshots with IDs SortedSet() from D:\Bhaskar_Learning_and_Development\Kafka_By_Sergey_Kargopolov\tmp\server-1\kraft-combined-logs\__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
